Europa,Europa,Nordamerkia,Nordamerkia,Ozeanien,Ozeanien,Welt,Welt,Asien,Asien,Lateinamerika,Lateinamerika,Afrika,Afrika
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1951.13024609766,4.023654714516018,1950.071743465538,4.847214687927385,1950.1331723753276,5.189199514069818,1950.7470030485244,5.919928485746811,1950.5450669682084,6.362881352047248,1950.695430269783,6.394008389172008,1950.035757126594,6.751350442761855
1955.2067877417237,4.016938792662149,1955.0571120771988,5.019490690158386,1955.335375870052,5.314899566788658,1954.6864757073113,5.866544929440797,1954.0068610896756,6.247197879021721,1961.4629096215706,6.427885974496306,1959.885241016786,6.823850309054651
1961.4732241773188,3.9330699938112663,1961.1424707563244,4.7335024411115265,1960.723699792945,5.223031256924123,1960.669605678354,5.906955066738996,1966.7341060336332,6.266039134188549,1979.9557620164576,5.500034381852494,1970.929379674977,6.741219256893561
1980.2402145427598,3.0985536700717438,1973.4828052535472,3.1356631495304965,1972.9010643093452,4.643284460166713,1966.0379881268004,5.838397652865536,1973.9808836900133,5.863771460006265,1989.9058701282827,4.834218347684573,1983.2188290305082,6.651138803358724
1991.4040020476305,2.8760572419641965,1978.8935919867363,2.810640037285209,1979.0487687476602,4.07751961675695,1973.3620103451176,5.552730301108623,1978.4961377719032,5.344215826348723,1998.6679706302577,4.315762933306846,1989.3880794297197,6.4739805780735455
1998.1863954829887,2.3959490537350154,1985.7548344704815,2.8590496855970597,1990.2391448851265,3.823941993994636,1978.8193271853488,5.173315098217492,1985.5659634941132,4.941902309696447,2007.7042091027865,3.890642787833408,1999.806697584866,6.088078665678506
2003.780781308497,2.0632014852960276,1997.554915458845,3.1341274267857555,1997.3371637263817,3.8024647968032514,1984.2101724440913,4.87160288196328,1989.5453191017932,4.84189696140828,,,2006.5333924191837,5.879976773148536
2010.5936065035185,2.0957954814605406,2002.0252439201424,3.0808813978897183,2007.8969766891041,3.6653041265863404,1990.8703956969202,4.74120397607023,1998.0000458424702,4.268957771444725,,,,
,,2010.7028873115685,3.1370155023952693,,,2010.8708082791502,4.1614113368428285,2010.6232589411918,4.036994873283772,,,,
,,,,,,2010.4009611637875,4.038232619973564,2010.431958313914,3.867515261722301,,,,
